保健品|bǎojiànpǐn|health care products
门当户对|méndāng-hùduì|IDIOM well-matched in social and economic status (for marriage) &#36825;&#20004;&#23478;&#38376;&#24403;&#25143;&#23545;&#12290; Zh&#232; li&#462;ng ji&#257; m&#233;nd&#257;ngh&#249;du&#236;. The two 
弦外之音|xiánwàizhīyīn|IDIOM overtones; implication; imply; hint &#25105;&#25026;&#24471;&#20182;&#30340;&#24358;&#22806;&#20043;&#38899;&#65306;&#36825;&#20214;&#20107;&#24635;&#24037;&#31243;&#24072;&#20063;&#26377;&#3613
送客|sòng//kè|VERB 1&#9;see a visitor out &#36865;&#23458;&#20986;&#38376; s&#242;ngk&#232; ch&#363;m&#233;n see a guest to the door 2&#9;EUPHEMISTIC show sb. the door &#21035;&#35828;&#20102;&#12290;&#36865;&#2345
扎心|zhāxīn|1&#9;heartrending 2&#9;deeply distressing
语境|yǔjìng|NOUN context; language environment &#35821;&#22659;&#21270; y&#468;j&#236;ng hu&#224; contextualization &#35821;&#22659;&#21464;&#20307; y&#468;j&#236;ng bi&#224;nt&#464; contextual variance &#35821;&
隐晦|yǐnhuì|ADJECTIVE obscure; veiled &#38544;&#26214;&#26354;&#25240; y&#464;nhu&#236; q&#363;zh&#233; (of a statement) veiled and roundabout &#25991;&#23383;&#20889;&#24471;&#24456;&#38544;&#26214; W&#233;n z&#
俚语|lǐyǔ|NOUN slang
割包皮|gēbāopí|to circumcise
泡菜|pàocài|NOUN pickled vegetables; pickles &#26397;&#40092;&#27873;&#33756; Ch&#225;oxi&#462;n p&#224;oc&#224;i Kimchi &#22235;&#24029;&#27873;&#33756; S&#236;chu&#257;n p&#224;oc&#224;i Sichuan pickles
名垂青史|míngchuíqīngshǐ|IDIOM go down in history; crowned with eternal glory
静音|jìngyīn|1&#9;quiet 2&#9;silent 3&#9;mute
牵线|qiān//xiàn|VERB 1&#9;(of a puppet) pull strings; manipulate or control (from behind the scenes) 2&#9;COLLOQUIAL act as go-between &#20182;&#20204;&#20457;&#35848;&#24651;&#29233;&#26159;&#25105;&#29301;&#30340;&
兽医|shòuyī|NOUN veterinary surgeon; veterinarian; vet
秋千|qiūqiān|NOUN swing (a seat for swinging) &#25171;&#31179;&#21315; d&#462; qi&#363;qi&#257;n have a swing &#29609;(&#33633;)&#31179;&#21315; W&#225;n qi&#363;qi&#257;n play on the swings (&#38854; qi&#257;n)
怨声载道|yuànshēng-zàidào|IDIOM Cries of discontent rise all round. or Complaints (or Voices of discontent) are heard everywhere.
精神焕发|jīngshén-huànfā|IDIOM in high spirits; feel one's spirits rise &#31934;&#31070;&#28949;&#21457;&#22320;&#34892;&#36827; j&#299;ngsh&#233;nhu&#224;nf&#257; de x&#237;ngj&#236;n advance with keen exhilaration; proceed 
逾期|yú//qī|VERB exceed the time limit; be overdue &#36926;&#26399;&#20316;&#24223; y&#250;q&#299; zu&#242;f&#232;i expire after the final date of effect &#36926;&#26399;&#19968;&#26143;&#26399; y&#250;q&#299; y&
造假|zàojiǎ|VERB counterfeit &#23398;&#26415;&#36896;&#20551; xu&#233;sh&#249; z&#224;oji&#462; academic cheating &#25171;&#20987;&#36896;&#20551;&#34892;&#20026; D&#462;j&#299; z&#224;oji&#462; x&#237;ngw&#233;i
采摘|cǎizhāi|VERB pick (fruit, flowers, leaves, etc.); pluck &#37319;&#25688;&#33529;&#26524; c&#462;izh&#257;i p&#237;nggu&#466; pick apples &#37319;&#25688;&#26825;&#33457; c&#462;izh&#257;i mi&#225;nhua pick co
氪|kè|NOUN CHEMISTRY krypton (Kr)
懈怠|xièdài|ADJECTIVE slack; sluggish &#23398;&#20064;&#19978;&#19981;&#21487;&#25032;&#24608;&#12290; Xu&#233;x&#237; sh&#224;ng b&#249; k&#283; xi&#232;d&#224;i. Don&#8217;t slack off in your studies.
主持公道|zhǔchígōngdào|uphold justice
清官|qīngguān|NOUN honest and upright official
鼎鼎大名|dǐngdǐngdàmíng|IDIOM famous; celebrated; well-known &#20182;&#24050;&#32463;&#26159;&#22823;&#21517;&#40718;&#40718;&#30340;&#20154;&#29289;&#20102;&#12290; T&#257; y&#464;jing sh&#236; d&#224;m&#237;ngd&#464;ngd&#4
贴膜|tiēmó|1&#9;protective or tinted film (for LCD screens, car windows etc) 2&#9;facial mask (cosmetics)
败绩|bàijì|VERB LITERARY utterly defeated; routed &#23649;&#36973;&#36133;&#32489; l&#474; z&#257;o b&#224;ij&#236; repeatedly badly defeated; routed many times
未尝|wèicháng|ADVERB LITERARY 1&#9;have not; did not &#22905;&#19968;&#22812;&#26410;&#23581;&#21512;&#30524;&#12290; T&#257; y&#299; y&#232; w&#232;ich&#225;ng h&#233;y&#462;n. She didn&#8217;t get a wink of sleep
钻牛角尖|zuān//niújiǎojiān|VERB 1&#9;take unnecessary pains to study an insignificant or insoluble problem; split hairs 2&#9;get into a dead end (or a blind alley); fixate on; obsessive
降噪|jiàngzào|VERB denoise
小众|xiǎozhòng|1&#9;minority of the population 2&#9;non-mainstream (activity, pursuit etc) 3&#9;niche (market etc)
拐卖|guǎimài|VERB kidnap and sell; engage in slavery &#25296;&#21334;&#22919;&#22899;&#20799;&#31461; Gu&#462;im&#224;i f&#249;n&#474; &#233;rt&#243;ng abduct and sell women and children
担当|dāndāng|VERB take on; undertake; assume &#25285;&#24403;&#37325;&#20219; D&#257;nd&#257;ng zh&#242;ngr&#232;n take on heavy responsibilities &#26080;&#35770;&#20160;&#20040;&#24037;&#20316;, &#20182;&#37117;&
蠕虫|rúchóng|NOUN worm; vermis; helminth
招领|zhāolǐng|VERB announce the finding of lost property &#22833;&#29289;&#25307;&#39046; sh&#299;w&#249; zh&#257;ol&#464;ng Found [a notice] &#22833;&#29289;&#25307;&#39046;&#22788; sh&#299;w&#249; zh&#257;ol&#464
假冒伪劣|jiǎmàowěiliè|fake and low quality commodities; counterfeit and shoddy products
选购|xuǎngòu|VERB pick out and buy; choose from a variety of goods &#26032;&#21040;&#21508;&#31181;&#33457;&#24067;, &#27426;&#36814;&#36873;&#36141;&#12290; X&#299;n d&#224;o g&#232;zh&#466;ng hu&#257;b&#249;, hu
冰柜|bīngguì|NOUN freezer
刮刮乐|guāguālè|scratch-and-win lottery
